title,price,registration,location,benzin,mileage,power,gefunden
VW ID.3 Volkswagen Pro S 77 kWh AR-HUD NAVI MATRIX KAMERA,37.750 €,EZ 03/2021,85053 Ingolstadt,"Elektro, ca. 0 g CO₂/km (komb.)*, A+++",7.600 km,ca. 150 kW (204PS),gefunden auf autoscout24.de
Mini Cooper S Countryman Cooper S E ALL4 Countryman,29.800 €,EZ 05/2020,74653 Ingelfingen,"Hybrid, ca. 1,9 l/100 km (komb.)*, ca. 43 g CO₂/km (komb.)*",43.925 km,ca. 100 kW (136PS),gefunden auf MINI
BMW 530 e iP M Sport ACC Bowers&Wilkins HUD DAB GSD,36.999 €,EZ 08/2019,82031,"Hybrid, ca. 47 g CO₂/km (komb.)*, A+",49.283 km,ca. 185 kW (252PS),gefunden auf Autoscout24 Smyle
BMW 330e Limousine,36.450 €,EZ 07/2020,21073 Hamburg,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",25.056 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 745e iPerformance Limousine,56.909 €,EZ 12/2019,66121 Saarbrücken,"Hybrid, ca. 0 g CO₂/km (komb.)*",64.265 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 330e Limousine,34.480 €,EZ 07/2020,82362 Weilheim,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",77.500 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 545e xDrive Limousine,73.209 €,EZ 09/2022,40237 Düsseldorf,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",26.551 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 530e xDrive iPerformance Limousine,39.850 €,EZ 07/2020,44263 Dortmund,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",38.149 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e iPerformance Limousine,35.990 €,EZ 07/2019,71364 Winnenden,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",58.839 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,36.790 €,EZ 07/2020,58636 Iserlohn,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",52.475 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 330e Limousine,34.900 €,EZ 08/2020,42549 Velbert,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",29.000 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,38.900 €,EZ 02/2021,47608 Geldern,"Hybrid, ca. 0 g CO₂/km (komb.)*",30.390 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 545e xDrive Limousine,74.990 €,EZ 12/2022,29410 Salzwedel,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",12.490 km,ca. 210 kW (286PS),gefunden auf BMW
BMW 330e Limousine,35.900 €,EZ 10/2020,41812 Erkelenz,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",23.228 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e iPerformance Limousine,39.910 €,EZ 01/2020,84453 Mühldorf a. Inn,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",46.980 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e Limousine,49.900 €,EZ 12/2022,01219 Dresden,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",11.164 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e iPerformance Limousine,30.366 €,EZ 06/2019,86899 Landsberg am Lech,"Hybrid, ca. 0 g CO₂/km (komb.)*",84.876 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive iPerformance Limousine,35.450 €,EZ 07/2020,67547 Worms,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",73.178 km,ca. 135 kW (184PS),gefunden auf BMW
BMW 530e xDrive Limousine,56.500 €,EZ 12/2022,49661 Cloppenburg,"Hybrid, ca. 0 g CO₂/km (komb.)*, A+++",4.900 km,ca. 135 kW (184PS),gefunden auf BMW
