title,price,registration,location,benzin,mileage,power,gefunden
BMW 318i Limousine,22.998 €,EZ 05/2018,36381 Schlüchtern,"Benzin, ca. 5,1 l/100 km (komb.)*, ca. 135 g CO₂/km (komb.)*",64.600 km,ca. 100 kW (136PS),gefunden auf BMW
BMW 318 i Lim. Advantage LED~HEADUP~NAVI~AHK~SHZ~,19.399 €,EZ 02/2017,44141 Dortmund,"Benzin, ca. 5,1 l/100 km (komb.)*, ca. 121 g CO₂/km (komb.)*",54.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i Limousine,17.990 €,EZ 03/2016,23972 Dorf Mecklenburg/Wismar,"Benzin, ca. 5,1 l/100 km (komb.)*, ca. 121 g CO₂/km (komb.)*",84.000 km,ca. 100 kW (136PS),gefunden auf BMW
BMW 318 i Advantage*NAVI*SHZ*PDC*8xBEREIFT*,18.900 €,EZ 03/2018,63654 Büdingen-Düdelsheim,"Benzin, ca. 5,1 l/100 km (komb.)*, ca. 121 g CO₂/km (komb.)*",81.200 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i Limousine,16.490 €,EZ 07/2018,54634 Bitburg,"Benzin, ca. 5,1 l/100 km (komb.)*, ca. 119 g CO₂/km (komb.)*",162.790 km,ca. 100 kW (136PS),gefunden auf BMW
BMW 318 i Advantage LED - Spurwechsel. - Totwinkel - Schec,16.990 €,EZ 08/2016,56070 Koblenz/Rh.,"Benzin, ca. 5,1 l/100 km (komb.)*, ca. 120 g CO₂/km (komb.)*",118.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i M Sport/M Paket SHADOW+NAVI+LED+KOMFORTZ+19,19.450 €,EZ 03/2017,36179 Bebra,"Benzin, ca. 5,1 l/100 km (komb.)*, ca. 121 g CO₂/km (komb.)*",59.586 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i Lim. |1.Hand|NAVI|PDC|ALU|TÜV NEU,12.980 €,EZ 08/2016,36367 Wartenberg-Angersbach,"Benzin, ca. 5,1 l/100 km (komb.)*, ca. 121 g CO₂/km (komb.)*",169.892 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i Advantage Navi°LM 16°Schiebedach°PDC°,19.900 €,EZ 01/2016,46397 Bocholt,"Benzin, ca. 5,1 l/100 km (komb.)*, ca. 121 g CO₂/km (komb.)*",31.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i 318 Advantage LED Navi iDrive PDC,21.990 €,EZ 10/2018,06122 Halle,"Benzin, ca. 6,2 l/100 km (komb.)*, ca. 141 g CO₂/km (komb.)*",63.801 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i 318,17.900 €,EZ 06/2016,04416 Markkleeberg,"Benzin, ca. 5,1 l/100 km (komb.)*",168.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i 318 Comfort Edition,22.000 €,EZ 05/2018,78647 Trossingen,"Benzin, ca. 8,0 l/100 km (komb.)*",63.000 km,ca. 85 kW (116PS),gefunden auf autoscout24.de
"BMW 318 i Luxury, Individual, Champagner Quarz, 19""",18.950 €,EZ 10/2018,23611 Bad Schwartau,"Benzin, ca. 6,2 l/100 km (komb.)*, ca. 141 g CO₂/km (komb.)*, C",134.700 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
