title,price,registration,location,benzin,mileage,power,gefunden
VW Polo Volkswagen VI 1.0 Trendline *App-Connect*Sitzheizung*P,13.530 €,EZ 12/2020,32657 Lemgo,"Benzin, ca. 5,6 l/100 km (komb.)* , ca. 128 g CO₂/km (komb.)* ",60.237 km,ca. 59 kW (80PS),gefunden auf autoscout24.de
Mini ONE 5-Türer,19.900 €,EZ 08/2022,65555 Limburg a.d. Lahn,"Benzin, ca. 5,3 l/100 km (komb.)* , ca. 120 g CO₂/km (komb.)* , B",15.800 km,ca. 75 kW (102PS),gefunden auf MINI
BMW 118i,21.900 €,EZ 04/2021,16515 Oranienburg,"Benzin, ca. 5,0 l/100 km (komb.)* , ca. 113 g CO₂/km (komb.)* , A",76.854 km,ca. 103 kW (140PS),gefunden auf BMW
VW Polo Volkswagen VI 1.0 Trendline *App-Connect*Sitzheizung*P,13.530 €,EZ 12/2020,32657 Lemgo,"Benzin, ca. 5,6 l/100 km (komb.)* , ca. 128 g CO₂/km (komb.)* ",60.237 km,ca. 59 kW (80PS),gefunden auf autoscout24.de
"BMW 118 i LM16"" MFL DAB",18.990 €,EZ 01/2021,89077 Ulm,"Benzin, ca. 5,7 l/100 km (komb.)* , ca. 129 g CO₂/km (komb.)* ",30.769 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
Opel Insignia 1.5 Turbo Automatik Dynamic|Navi|Head-u,19.800 €,EZ 09/2019,74321 Bietigheim-Bissingen,"Benzin, ca. 7,2 l/100 km (komb.)* , ca. 164 g CO₂/km (komb.)* ",61.012 km,ca. 121 kW (165PS),gefunden auf autoscout24.de
VW Golf Volkswagen GTI Performance 2.0 TSI/DSG/LED/AHK/PANO,25.950 €,EZ 12/2018,38159 Vechelde,"Benzin, ca. 6,3 l/100 km (komb.)* , ca. 144 g CO₂/km (komb.)* , C",54.342 km,ca. 180 kW (245PS),gefunden auf autoscout24.de
VW Jetta Volkswagen 1.2 TSI BlueMotion Technology Comfortline,3.700 €,EZ 06/2011,94234 Viechtach,"Benzin, ca. 5,3 l/100 km (komb.)* , ca. 123 g CO₂/km (komb.)* ",205.000 km,ca. 77 kW (105PS),gefunden auf autoscout24.de
Mercedes-Benz A 180 A-Klasse (BlueEFFICIENCY),10.950 €,EZ 05/2013,38442 Wolfsburg,"Benzin, ca. 5,5 l/100 km (komb.)* ",120.000 km,ca. 90 kW (122PS),gefunden auf autoscout24.de
Mercedes-Benz A 180 Kompaktlimousine AMG MBUX+18+LED+RüKam,27.770 €,EZ 11/2020,75179 Pforzheim,"Benzin, ca. 6,0 l/100 km (komb.)* , ca. 137 g CO₂/km (komb.)* ",74.830 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
