title,price,registration,location,benzin,mileage,power,gefunden
Nissan Leaf Tekna 40 kWh Navi Leder Soundsystem Bose 360 Kamer,15.980 €,EZ 06/2020,53332 Bornheim,"Elektro, ca. 0 g CO₂/km (komb.)* ",62.120 km,ca. 110 kW (150PS),gefunden auf autoscout24.de
"Hyundai IONIQ 6 77,4kWh 168kW Dynamiq 4 Türen",949 € monatlich,EZ -/2024,,"Elektro, ca. 0 g CO₂/km (komb.)* ",- km,ca. 168 kW (228PS),gefunden auf Carwow Leasing
BMW 530e xDrive Limousine,59.839 €,EZ 04/2023,45897 Gelsenkirchen,"Hybrid, ca. 0 g CO₂/km (komb.)* ",2.535 km,ca. 135 kW (184PS),gefunden auf BMW
VW Golf GTE 1.4 TSI Hybrid 110kW 6-Gang DSG 4 Türen,31.590 €,EZ -/2022,,"Hybrid, ca. 6,173 l/100 km (komb.)* , ca. 140 g CO₂/km (komb.)* , A+++",31.303 km,ca. 110 kW (150PS),gefunden auf hey.car Online-Kauf
VW Golf e- Comfortline 100kW 1-Gang Automatik 4 Türen,18.050 €,EZ -/2020,,"Elektro, ca. 12,9 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+",22.850 km,ca. 100 kW (136PS),gefunden auf hey.car Online-Kauf
VW Golf Style 1.4 eHybrid 110kW 6-Gang DSG 4 Türen,22.100 €,EZ -/2020,,"Hybrid, ca. 5,707 l/100 km (komb.)* , ca. 129 g CO₂/km (komb.)* , A+",32.561 km,ca. 110 kW (150PS),gefunden auf hey.car Online-Kauf
VW Golf Style 1.4 eHybrid 110kW 6-Gang DSG 4 Türen,24.990 €,EZ -/2020,,"Hybrid, ca. 5,709 l/100 km (komb.)* , ca. 129 g CO₂/km (komb.)* , A+",23.721 km,ca. 110 kW (150PS),gefunden auf hey.car Online-Kauf
VW ID.3 Pro 150kW 1-Gang Automatik 4 Türen,22.990 €,EZ -/2021,,"Elektro, ca. 14,5 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+",41.694 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
VW ID.3 Pro 150kW 1-Gang Automatik 4 Türen,21.290 €,EZ -/2020,,"Elektro, ca. 14,5 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* , A+",46.317 km,ca. 150 kW (204PS),gefunden auf hey.car Online-Kauf
VW Golf GTE 1.4 TSI Hybrid 110kW 6-Gang DSG 4 Türen,25.650 €,EZ -/2021,,"Hybrid, ca. 6,294 l/100 km (komb.)* , ca. 142 g CO₂/km (komb.)* , A+",15.441 km,ca. 110 kW (150PS),gefunden auf hey.car Online-Kauf
VW Golf GTE 1.4 TSI Hybrid 110kW 6-Gang DSG 4 Türen,25.390 €,EZ -/2021,,"Hybrid, ca. 6,208 l/100 km (komb.)* , ca. 140 g CO₂/km (komb.)* , A+++",17.760 km,ca. 110 kW (150PS),gefunden auf hey.car Online-Kauf
VW Golf GTE 1.4 TSI Hybrid 110kW 6-Gang DSG 4 Türen mit Anschlussgarantie,27.990 €,EZ -/2022,,"Hybrid, ca. 6,13 l/100 km (komb.)* , ca. 139 g CO₂/km (komb.)* , A+++",33.240 km,ca. 110 kW (150PS),gefunden auf hey.car Online-Kauf
Nissan Leaf Tekna 40 kWh Navi Leder Soundsystem Bose 360 Kamer,15.980 €,EZ 06/2020,53332 Bornheim,"Elektro, ca. 0 g CO₂/km (komb.)* ",62.120 km,ca. 110 kW (150PS),gefunden auf autoscout24.de
Nissan Leaf (ZE1) MY20 Acenta Winter,14.750 €,EZ 04/2021,18209 Bad Doberan,Elektro,44.130 km,ca. 110 kW (150PS),gefunden auf autoscout24.de
Tesla Model 3 SR Plus*Pano*LED*360°Kam*Auton.-Fahren,22.600 €,EZ 12/2019,49828 Neuenhaus,"Elektro, ca. 0 g CO₂/km (komb.)* ",143.521 km,ca. 225 kW (306PS),gefunden auf autoscout24.de
VW ID.3 Volkswagen Pro S Tour | NAVI | LED | SITZHEIZUNG |,28.870 €,EZ 02/2021,94447 Plattling,"Elektro, ca. 0 g CO₂/km (komb.)* ",49.976 km,ca. 150 kW (204PS),gefunden auf autoscout24.de
VW Golf Volkswagen e- NAVI,18.930 €,EZ 12/2020,79115 Freiburg,Elektro,14.744 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
Tesla Model 3 Long Range*USS*VAT deductible*weiss,41.880 €,EZ 12/2022,83043 Bad Aibling,"Elektro, ca. 0 g CO₂/km (komb.)* ",16.450 km,ca. 366 kW (498PS),gefunden auf autoscout24.de
"Polestar -2 2 StandardRange PilotPaket Tow Hitch VAT AHK 20""",40.900 €,EZ 09/2022,42103 Wuppertal,"Elektro, ca. 0 g CO₂/km (komb.)* ",9.900 km,ca. 170 kW (231PS),gefunden auf autoscout24.de
Porsche Taycan 4S Inno/Pano/Perfom/Matrix/4+1/Bei-Disp LED,85.850 €,EZ 12/2022,54595 Prüm,"Elektro, ca. 0 g CO₂/km (komb.)* ",13.700 km,ca. 420 kW (571PS),gefunden auf autoscout24.de
Cupra Born *LED*PDC*KLIMA*,27.594 €,EZ 02/2023,12105 Berlin,Elektro,13.468 km,ca. 150 kW (204PS),gefunden auf autoscout24.de
Audi RS e-tron GT quattro Top Angebot,83.888 €,EZ 04/2022,74074 Heilbronn,Elektro,17.999 km,ca. 440 kW (598PS),gefunden auf autoscout24.de
"Opel Corsa F Elektro Edition, LHZ, SHZ, PDC, Navi",17.330 €,EZ 02/2021,57072 Siegen,Elektro,33.839 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
Tesla Model 3 Langstreckenbatt. Allradantrieb Dual Motor Perform,38.000 €,EZ 09/2021,47447 Moers,Elektro,16.437 km,ca. 377 kW (513PS),gefunden auf autoscout24.de
Smart ForFour EQ Cool & Audio +22KW+,10.880 €,EZ 02/2022,29227 Celle,"Elektro, ca. 0 g CO₂/km (komb.)* ",29.760 km,ca. 60 kW (82PS),gefunden auf autoscout24.de
"VW ID.3 Volkswagen °°Life Pro Performance 150/58 189,-ohne Anzahlung",20.699 €,EZ 12/2020,32805 Horn-Bad Meinberg,"Elektro, ca. 0 g CO₂/km (komb.)* ",21.089 km,ca. 150 kW (204PS),gefunden auf autoscout24.de
Mercedes-Benz B 250 e ILS/RfCam/Audio20/Spiegel-P/Sitzkomfort-P,15.470 €,EZ 02/2017,09114 Chemnitz,Elektro,27.500 km,ca. 132 kW (179PS),gefunden auf autoscout24.de
BMW i3 120Ah DA+ Navi Prof. Ad.LED PA RFK DAB WLAN,19.680 €,EZ 03/2021,85221 Dachau,"Elektro, ca. 0 g CO₂/km (komb.)* ",57.426 km,ca. 125 kW (170PS),gefunden auf autoscout24.de
Tesla Model 3 Performance grau matt 2020 Modell,29.950 €,EZ 12/2019,90766 Fuerth,"Elektro, ca. 0 g CO₂/km (komb.)* ",41.200 km,ca. 377 kW (513PS),gefunden auf autoscout24.de
Kia Niro e- e- Edition 7,24.000 €,EZ 04/2021,44807 Bochum,Elektro,24.900 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
Porsche Taycan,69.700 €,EZ 09/2021,49078 Osnabrück,"Elektro, ca. 0 g CO₂/km (komb.)* ",34.500 km,ca. 350 kW (476PS),gefunden auf autoscout24.de
Polestar -2 2 Elektro 78kWh Long Range Dual + PANO + 360* + HARM,44.370 €,EZ 12/2022,33106 Paderborn,"Elektro, ca. 0 g CO₂/km (komb.)* ",16.480 km,ca. 300 kW (408PS),gefunden auf autoscout24.de
BMW i3 120Ah Kamera/Tempomat/DAB+/WirelessCharge Kamera/,18.980 €,EZ 01/2022,97076 Würzburg,"Elektro, ca. 0 g CO₂/km (komb.)* ",11.164 km,ca. 125 kW (170PS),gefunden auf autoscout24.de
Opel Corsa-e e GS Line,28.790 €,EZ 12/2021,67663 Kaiserslautern,"Elektro, ca. 0 g CO₂/km (komb.)* ",10.164 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
"VW ID.5 Volkswagen GTX 4MOTION Sportpaket ""plus"", Wärmepumpe",57.990 €,EZ 06/2023,67059 Ludwigshafen,Elektro,7.900 km,ca. 220 kW (299PS),gefunden auf autoscout24.de
"Citroën C4 Citroen e- Feel, Einparkhilfe, Alufelgen, LED Scheinw...",22.900 €,EZ 07/2022,74613 Oehringen,"Elektro, ca. 0 g CO₂/km (komb.)* ",10.600 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
Citroën Citroen E-C4 Electric 136 SHINE,20.980 €,EZ 07/2021,59394 Nordkirchen,"Elektro, ca. 0 g CO₂/km (komb.)* ",23.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
Hyundai Ioniq Elektro Style ACC/LED/Klimaaut.,15.780 €,EZ 11/2017,67269 Grünstadt,"Elektro, ca. 0 g CO₂/km (komb.)* ",78.625 km,ca. 88 kW (120PS),gefunden auf autoscout24.de
"Peugeot e-208 208 ElectroAllure,Navi,Kamera,LED,8 Reifen",21.950 €,EZ 11/2022,89134 Blaustein,"Elektro, ca. 0 g CO₂/km (komb.)* ",7.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
VW ID.3 Volkswagen Pro Performance Tech MATRIX VIRT KAM SHZ,31.680 €,EZ 07/2021,51379 Leverkusen,Elektro,17.716 km,ca. 150 kW (204PS),gefunden auf autoscout24.de
