title,price,registration,location,benzin,mileage,power,gefunden
BMW Active Hybrid 3 216i Active Tourer Advantage LED Shz Parkassist,15.680 €,EZ 10/2018,95447 Bayreuth,"Benzin, ca. 5,8 l/100 km (komb.)* , ca. 132 g CO₂/km (komb.)* ",38.868 km,ca. 80 kW (109PS),gefunden auf mobile.de
BMW 318 i Sport Line*NAVI*LED*HUD*SHZ*PDC,19.340 €,EZ 10/2016,65936 Frankfurt am Main,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 124 g CO₂/km (komb.)* ",64.173 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
"BMW 318 i Advantage (Navi, Tempomat, LED, Insp. NEU)",15.999 €,EZ 01/2017,33175 Bad Lippspringe,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* ",64.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i Advantage NAV LED AHK SHZ ALU PDC vo+hi BLUETOOT,18.970 €,EZ 02/2017,46539 Dinslaken,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 119 g CO₂/km (komb.)* , A",56.616 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i Sport Line Klimaaut. Sportsitze Durchlade,19.840 €,EZ 12/2017,45897 Gelsenkirchen,"Benzin, ca. 5,5 l/100 km (komb.)* , ca. 129 g CO₂/km (komb.)* , B",32.378 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i M Sportpaket 1.Hand/Navi/SHZ/Garantie inkl.,22.000 €,EZ 03/2018,46049 Oberhausen,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* ",109.906 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i Lim. Advantage/SHZ/TEMP/1.Hd.,14.380 €,EZ 04/2016,74889 Sinsheim,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* ",149.412 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i Advantage Navigation+Garagenwagen+Garantie,14.999 €,EZ 02/2016,03051 Cottbus,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* ",135.200 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i 318 Advantage LED Kamera AHK,16.750 €,EZ 01/2016,06542 Allstedt / OT Niederröblingen,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* ",69.173 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i 318 Luxury Line,17.900 €,EZ 12/2017,67304 Eisenberg,"Benzin, ca. 5,4 l/100 km (komb.)* ",69.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
"BMW 318 i Advantage/2Hd/Navi/18""/PDC/Sitzhzg/Tempomat",17.490 €,EZ 01/2017,35415 Pohlheim,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 119 g CO₂/km (komb.)* , A",79.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318i 318,16.700 €,EZ 03/2016,04416 Markkleeberg,"Benzin, ca. 5,1 l/100 km (komb.)* ",176.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
BMW 318 i Navi Head-Up Display Surround-Kamerasystem,19.890 €,EZ 07/2018,47443 Moers,"Benzin, ca. 6,3 l/100 km (komb.)* , ca. 143 g CO₂/km (komb.)* ",107.000 km,ca. 100 kW (136PS),gefunden auf autoscout24.de
